JUNGLESCOUT WEBAPP CSV EXPORT
Report Generated at: Tue Oct 14 2025 23:32:54 GMT+0800 (China Standard Time)
Keyword,市场机会分数,总销量 - 净收入,价格 - 净收入,搜索量 - 30 Day Exact,搜索关键词以开始 - 平均亚马逊费用,搜索关键词以开始 - 平均每日BSR,竞争程度,季节性/旺季月份,最后更新
"fortnite costumes for boys","8","1,998","$41.48","80,465","310%","1941%","低","非常高","10月 13, 2025"
"sexy black dress","9","5,634","$40.36","79,131","55%","56%","低","非常低","10月 11, 2025"
"baby dinosaur costume","8","3,077","$31.86","77,179","163%","1348%","中","非常高","10月 14, 2025"
"anime costumes for women","7","1,395","$47.74","75,372","346%","671%","中","非常高","10月 10, 2025"
"chicken costume adult","8","1,175","$31.99","74,933","199%","149%","低","非常高","10月 13, 2025"
"sherpa vest","8","2,819","$33.17","71,706","45%","1150%","低","非常高","10月 12, 2025"
"mens pirate costume","8","2,435","$52.40","71,402","108%","190%","中","非常高","10月 14, 2025"
"suede jacket","9","5,873","$42.75","70,669","111%","493%","低","高","10月 14, 2025"
"cookie monster costume adult","9","1,166","$54.59","69,973","519%","1476%","非常低","非常高","10月 12, 2025"
"brown leather skirt","7","1,124","$30.39","69,087","152%","291%","中","非常低","10月 12, 2025"
"elphaba costume kids","9","786","$38.48","67,733","116%","521%","非常低","非常高","10月 13, 2025"
"frog costume adult","8","1,051","$34.47","67,431","352%","486%","非常低","非常高","10月 12, 2025"
"anakin costume","7","1,491","$44.35","65,660","353%","306%","中","低","10月 13, 2025"
"moana costume for women","8","797","$37.50","63,829","159%","303%","非常低","低","10月 13, 2025"
"raven teen titans costume","8","1,152","$31.28","61,911","188%","1366%","低","非常高","10月 13, 2025"
"black and white dress","8","1,222","$36.19","60,905","5%","45%","低","非常低","10月 14, 2025"
"maternity halloween costumes","8","860","$34.28","60,716","267%","1201%","非常低","高","10月 13, 2025"
"fairy costume women","9","1,886","$32.01","60,542","200%","359%","非常低","非常高","10月 13, 2025"
"ghostface costume kids","7","831","$35.70","60,410","693%","1291%","低","高","10月 11, 2025"
"wizard costume men","8","981","$35.83","59,437","269%","368%","低","非常高","10月 14, 2025"
"inflatable halloween costumes","9","2,348","$37.49","55,949","227%","1278%","非常低","非常高","10月 12, 2025"
"black and white polka dot dress","9","791","$36.38","54,479","91%","93%","非常低","非常低","10月 13, 2025"
"teenage mutant ninja turtles costume","8","1,576","$37.18","53,631","204%","590%","低","非常高","10月 13, 2025"
