JUNGLESCOUT WEBAPP CSV EXPORT
Report Generated at: Tue Oct 14 2025 23:30:02 GMT+0800 (China Standard Time)
Keyword,市场机会分数,总销量 - 净收入,价格 - 净收入,搜索量 - 30 Day Exact,搜索关键词以开始 - 平均亚马逊费用,搜索关键词以开始 - 平均每日BSR,竞争程度,季节性/旺季月份,最后更新
"mantle garland","7","921","$36.69","6,932","52%","51%","低","非常高","10月 12, 2025"
"under bed storage drawers","7","1,549","$51.69","6,899","-23%","37%","中","中","10月 13, 2025"
"corner book shelves","7","1,037","$111.05","6,763","1%","41%","低","低","10月 14, 2025"
"fireplace garland","8","797","$34.68","6,155","89%","127%","非常低","非常高","10月 13, 2025"
"day bed frame full size","9","6,197","$149.04","5,724","67%","98%","低","非常低","10月 14, 2025"
"queen size bedroom furniture sets","8","1,431","$546.18","5,618","59%","30%","低","非常低","10月 13, 2025"
"vanity for teens","8","1,212","$132.05","5,289","11%","51%","低","高","10月 13, 2025"
"lg cord zero","8","2,045","$277.07","5,160","57%","49%","中","低","10月 14, 2025"
"pine tree decor","8","917","$49.08","5,120","26%","43%","低","非常高","10月 13, 2025"
"tatung rice cooker","8","1,413","$132.06","4,535","-16%","33%","低","非常低","10月 14, 2025"
"snoopy water bottle","8","823","$30.92","4,353","-1%","53%","低","非常高","10月 14, 2025"
"coma inducer oversized comforter king","8","1,229","$150.88","4,183","108%","47%","低","非常低","10月 13, 2025"
"heated portable blanket","9","1,116","$66.64","4,016","68%","132%","非常低","非常高","10月 14, 2025"
"candy containers with lids","7","991","$31.73","4,004","1%","56%","低","非常低","10月 14, 2025"
"stainless lunch box for kids","7","1,024","$33.99","3,789","-38%","76%","低","中","10月 13, 2025"
"duvet cover pink","8","16,285","$37.28","3,749","-17%","38%","中","高","10月 13, 2025"
"artic zone lunchbox","9","1,011","$36.22","3,234","-54%","41%","非常低","非常高","10月 12, 2025"
"ready rocker","8","2,467","$54.41","3,155","-44%","41%","低","低","10月 14, 2025"
"heated camping blanket","8","1,072","$69.91","2,988","40%","46%","非常低","非常高","10月 14, 2025"
"gothic area rug","7","788","$61.59","2,922","8%","30%","低","中","10月 14, 2025"
"titanium pans","8","881","$84.95","2,871","3%","44%","低","低","10月 14, 2025"
"green bean bag chair","8","779","$94.19","2,836","-15%","35%","低","非常高","10月 14, 2025"
"wall units for living room","8","898","$305.64","2,750","94%","61%","非常低","低","10月 14, 2025"
"milk frother and warmer","9","3,365","$62.13","2,627","60%","38%","低","低","10月 14, 2025"
"pacific coast pillows","8","1,414","$107.43","2,627","17%","63%","低","中","10月 14, 2025"
"footed tray","8","767","$34.70","2,589","4%","47%","低","非常低","10月 13, 2025"
"water dispenser bottom loading","8","996","$163.99","2,483","42%","74%","非常低","中","10月 14, 2025"
"jaipur rugs","8","951","$509.02","2,424","22%","36%","非常低","高","10月 13, 2025"
"grey chest of drawers","8","3,717","$137.51","2,299","52%","47%","中","低","10月 11, 2025"
"black white wall art","7","753","$59.34","2,207","-13%","43%","低","非常低","10月 13, 2025"
"sensory seating","8","2,139","$45.51","2,179","-20%","44%","中","中","10月 13, 2025"
"usb heating blanket","8","1,037","$51.73","2,134","6%","48%","非常低","非常高","10月 14, 2025"
"rugs for classroom","8","1,982","$109.94","1,978","-57%","68%","低","非常高","10月 14, 2025"
"yankee candle wax warmer","8","913","$30.30","1,864","16%","38%","低","非常高","10月 14, 2025"
"大同電鍋","8","1,917","$120.18","1,864","30%","41%","低","中","10月 14, 2025"
"gift for brother in law","7","1,095","$34.00","1,813","14%","32%","低","非常高","10月 14, 2025"
"sofa cama plegable","7","1,080","$207.79","1,726","-17%","44%","低","低","10月 14, 2025"
"charter club sheets queen","9","2,267","$90.96","1,650","-9%","53%","低","低","10月 13, 2025"
"banana leaf plates","7","926","$30.18","1,476","-26%","31%","低","低","10月 14, 2025"
"ikea wall shelf","8","1,057","$62.60","1,262","-29%","58%","非常低","非常低","10月 14, 2025"
"patchwork rug","8","1,196","$79.21","1,146","-14%","35%","低","低","10月 08, 2025"
"artificial flower backdrop","8","1,283","$87.27","1,130","-24%","43%","低","低","10月 11, 2025"
"frozen treat maker","8","1,332","$232.53","832","-16%","30%","低","中","10月 13, 2025"
"parade float","9","1,257","$69.74","784","12%","30%","非常低","非常高","10月 02, 2025"
"analog food scale","8","962","$56.66","< 450","-53%","34%","非常低","低","10月 11, 2025"
"sterilite 40 gallon wheeled industrial tote","7","979","$93.76","< 450","13%","31%","低","中","10月 09, 2025"
